matchid,NAME_ENGLI,Country,Cannot meet both population growth & undernourished from FOOD,Cannot meet ONLY population growth from FOOD,Cannot meet ONLY undernourished from FOOD,CAN meet both population growth & undernourished from FOOD,Cannot meet both population growth & undernourished from TOTAL,Cannot meet ONLY population growth from TOTAL,Cannot meet ONLY undernourished from TOTAL,CAN meet both population growth & undernourished from TOTAL
1,Afghanistan,Afghanistan,0,2,0,0,0,2,0,0
4,Albania,Albania,1,0,0,0,1,0,0,0
8,Angola,Angola,1,0,0,0,0,0,0,4
12,Argentina,Argentina,1,0,0,0,0,0,0,4
13,Armenia,Armenia,0,0,0,4,0,0,0,4
20,Bangladesh,Bangladesh,0,0,0,4,0,0,0,4
25,Benin,Benin,0,2,0,0,0,0,0,4
28,Bolivia,Bolivia (Plurinational State of),1,0,0,0,0,0,0,4
31,Botswana,Botswana,1,0,0,0,1,0,0,0
37,Bulgaria,Bulgaria,1,0,0,0,0,0,0,4
38,Burkina Faso,Burkina Faso,0,2,0,0,0,2,0,0
40,Cambodia,Cambodia,1,0,0,0,0,0,0,4
41,Cameroon,Cameroon,0,2,0,0,0,2,0,0
46,Central African Republic,Central African Republic,1,0,0,0,1,0,0,0
47,Chad,Chad,1,0,0,0,1,0,0,0
48,Chile,Chile,1,0,0,0,0,2,0,0
225,Taiwan,China Taiwan Province of,1,0,0,0,1,0,0,0
53,Colombia,Colombia,1,0,0,0,0,0,0,4
185,Republic of Congo,Congo,1,0,0,0,1,0,0,0
56,Costa Rica,Costa Rica,1,0,0,0,0,2,0,0
166,North Korea,Democratic People's Republic of Korea,1,0,0,0,1,0,0,0
66,Dominican Republic,Dominican Republic,0,2,0,0,1,0,0,0
68,Ecuador,Ecuador,1,0,0,0,0,0,0,4
69,Egypt,Egypt,0,2,0,0,0,2,0,0
70,El Salvador,El Salvador,1,0,0,0,0,0,0,4
221,Swaziland,Eswatini,1,0,0,0,0,0,0,4
74,Ethiopia,Ethiopia,0,2,0,0,0,2,0,0
83,Gabon,Gabon,1,0,0,0,1,0,0,0
84,Gambia,Gambia,1,0,0,0,1,0,0,0
85,Georgia,Georgia,1,0,0,0,1,0,0,0
87,Ghana,Ghana,0,2,0,0,0,0,0,4
94,Guatemala,Guatemala,1,0,0,0,0,0,0,4
99,Haiti,Haiti,1,0,0,0,1,0,0,0
101,Honduras,Honduras,1,0,0,0,0,0,0,4
105,India,India,1,0,0,0,0,0,0,4
106,Indonesia,Indonesia,0,2,0,0,0,0,0,4
107,Iran,Iran (Islamic Republic of),0,2,0,0,0,0,0,4
108,Iraq,Iraq,1,0,0,0,1,0,0,0
57,CÍ‰te d'Ivoire,Ivory Coast,1,0,0,0,1,0,0,0
113,Jamaica,Jamaica,1,0,0,0,1,0,0,0
116,Jordan,Jordan,1,0,0,0,1,0,0,0
118,Kenya,Kenya,1,0,0,0,1,0,0,0
122,Kyrgyzstan,Kyrgyzstan,1,0,0,0,1,0,0,0
123,Laos,Lao People's Democratic Republic,1,0,0,0,0,2,0,0
125,Lebanon,Lebanon,1,0,0,0,1,0,0,0
126,Lesotho,Lesotho,1,0,0,0,1,0,0,0
127,Liberia,Liberia,1,0,0,0,1,0,0,0
134,Madagascar,Madagascar,1,0,0,0,0,0,0,4
135,Malawi,Malawi,0,2,0,0,0,0,0,4
